Pessoa,numero,tempo (s)
Emanuel,1,0.46
Emanuel,2,0.27
Emanuel,3,0.39
Emanuel,4,0.53
Emanuel,5,0.47
Emanuel,6,0.53
Emanuel,7,0.46
Emanuel,8,0.33
Emanuel,9,0.46
Emanuel,10,0.59
Emanuel,11,0.4
Emanuel,12,0.52
Emanuel,13,0.53
Emanuel,14,0.54
Emanuel,15,0.47
Emanuel,16,0.53
Emanuel,17,0.33
Emanuel,18,0.66
Emanuel,19,0.6
Emanuel,20,0.53
Filipe,1,0.34
Filipe,2,0.26
Filipe,3,0.73
Filipe,4,0.41
Filipe,5,0.4
Filipe,6,0.33
Filipe,7,0.27
Filipe,8,0.4
Filipe,9,0.4
Filipe,10,0.26
Filipe,11,0.46
Filipe,12,0.46
Filipe,13,0.33
Filipe,14,0.28
Filipe,15,0.34
Filipe,16,0.53
Filipe,17,0.46
Filipe,18,0.41
Filipe,19,0.4
Filipe,20,0.22
