Pessoa,numero,tempo (s)
GABRYEL,1,0.47
GABRYEL,2,0.37
GABRYEL,3,0.45
GABRYEL,4,0.37
GABRYEL,5,0.44
GABRYEL,6,0.36
GABRYEL,7,0.42
GABRYEL,8,0.47
GABRYEL,9,0.44
GABRYEL,10,0.52
GABRYEL,11,0.39
GABRYEL,12,0.37
GABRYEL,13,0.50
GABRYEL,14,0.45
GABRYEL,15,0.41
GABRYEL,16,0.47
GABRYEL,17,0.36
GABRYEL,18,0.44
GABRYEL,19,0.45
GABRYEL,20,0.44
Lucas,1,0.41
Lucas,2,0.49
Lucas,3,0.52
Lucas,4,0.54
Lucas,5,0.41
Lucas,6,0.49
Lucas,7,0.54
Lucas,8,0.48
Lucas,9,0.52
Lucas,10,0.42
Lucas,11,0.47
Lucas,12,0.42
Lucas,13,0.52
Lucas,14,0.45
Lucas,15,0.40
Lucas,16,0.41
Lucas,17,0.41
Lucas,18,0.37
Lucas,19,0.38
Lucas,20,0.44
