t,x,y,vy,ay,K,Pot,Mec
0,-1.737,988,,,,,
33,-1.264,988,-15.67,,0.0009847,,
67,-1.607,987,-15.76,314,0.001081,-2.446,-2.445
100,-1.599,987,1.791,195,0.00006005,-1.518,-1.518
133,-1.376,988,5.207,13.93,0.0001201,-0.1087,-0.1085
167,-1.72,987,-5.301,-104,0.0002162,0.8142,0.8144
200,-1.72,987,1.767,76.95,0.00002402,-0.6001,-0.6001
233,-1.605,987,0.07104,-149,0.0001081,1.164,1.164
267,-1.371,987,-8.67,-107,0.0003483,0.8316,0.832
300,-1.365,987,-8.788,-76.14,0.0004083,0.5935,0.5939
333,-1.712,987,-10.53,60.39,0.0005404,-0.4706,-0.4701
367,-1.704,986,-8.717,195,0.0003002,-1.52,-1.519
400,-1.704,986,5.207,166,0.0001201,-1.292,-1.291
433,-1.825,986,3.558,-298,0.0001561,2.324,2.324
467,-1.358,986,-15.62,-195,0.001081,1.518,1.519
500,-1.462,985,-13.97,-239,0.0007806,1.86,1.86
533,-1.462,985,-22.57,-195,0.002222,1.522,1.524
567,-0.9767,984,-36.66,-47.67,0.005344,0.3705,0.3759
600,-1.661,983,-21.11,448,0.002498,-3.481,-3.478
633,-1.888,982,-6.974,302,0.0001921,-2.345,-2.345
667,-1.655,982,0.04736,388,0.00004804,-3.009,-3.009
700,-1.655,982,15.62,-165,0.001081,1.284,1.285
733,-2.018,983,-1.791,-581,0.00006005,4.512,4.512
767,-1.886,982,-34.77,-267,0.004996,2.075,2.08
800,-1.522,981,-17.36,447,0.001309,-3.467,-3.466
833,-1.522,981,0,147,0,-1.136,-1.136
867,-1.522,981,-8.812,-75.53,0.0004924,0.5854,0.5859
900,-1.979,981,-8.812,138,0.0004924,-1.07,-1.07
933,-1.979,981,3.653,-88.24,0.0006365,0.6835,0.6842
967,-1.168,981,-12.13,-196,0.0006965,1.516,1.517
1000,-1.619,980,-17.48,-92.51,0.001249,0.716,0.7172
1033,-1.385,980,-10.48,60.79,0.0004443,-0.4705,-0.47
1067,-1.726,979,-17.48,-90.07,0.001249,0.6966,0.6979
1100,-1.601,978,-15.69,46.05,0.0009727,-0.3559,-0.355
1133,-1.711,978,-13.95,-209,0.0007686,1.613,1.614
1167,-1.589,978,-27.85,-240,0.003122,1.856,1.859
1200,-1.454,976,-34.94,28.06,0.004912,-0.2164,-0.2115
1233,-1.906,975,-22.78,-43.01,0.00233,0.3313,0.3336
1267,-2.014,975,-34.8,-86.62,0.004912,0.6669,0.6718
1300,-1.526,973,-36.49,73.3,0.005596,-0.5633,-0.5577
1333,-1.4,972,-22.71,102,0.002078,-0.7847,-0.7826
1367,-1.738,971,-31.45,89.87,0.003999,-0.6896,-0.6856
1400,-1.72,970,-20.92,330,0.001729,-2.532,-2.53
1433,-1.719,970,-3.463,179,0.00006005,-1.373,-1.372
1467,-1.601,970,-10.46,-118,0.0004323,0.9035,0.904
1500,-1.709,969,-13.85,28.26,0.0009607,-0.2164,-0.2155
1533,-1.123,969,-6.998,-31.31,0.0002042,0.2396,0.2399
1567,-1.819,969,-14.07,-389,0.001069,2.978,2.979
1600,-1.692,968,-34.85,-59.17,0.004816,0.4524,0.4573
1633,-1.671,966,-22.76,314,0.002222,-2.396,-2.394
1667,-2.136,966,-5.254,108,0.0001201,-0.8219,-0.8218
1700,-1.783,966,-19.01,-374,0.002042,2.856,2.858
1733,-1.305,965,-31.43,56.53,0.003939,-0.431,-0.4271
1767,-1.987,964,-17.58,388,0.001633,-2.956,-2.954
1800,-1.987,964,0,301,0,-2.295,-2.295
1833,-1.987,964,0,-207,0,1.575,1.575
1867,-1.987,964,-12.06,-615,0.001021,4.685,4.686
1900,-1.278,963,-41.91,-419,0.007025,3.192,3.199
1933,-2.298,961,-45.43,329,0.00831,-2.5,-2.491
1967,-1.702,960,-15.57,676,0.001273,-5.124,-5.123
2000,-1.702,960,1.767,104,0.00002402,-0.7858,-0.7858
2033,-1.588,960,-8.646,-554,0.0004083,4.202,4.203
2067,-1.346,960,-36.64,-554,0.005308,4.199,4.205
2100,-1.671,958,-48.86,-181,0.009463,1.366,1.376
2133,-1.534,956,-45.38,2.03,0.008166,-0.01533,-0.007168
2167,-1.862,955,-48.79,-148,0.009427,1.12,1.129
2200,-1.374,953,-55.7,-121,0.01249,0.9093,0.9218
2233,-1.347,951,-57.63,311,0.01327,-2.34,-2.326
2267,-1.786,949,-36.71,347,0.005488,-2.599,-2.593
2300,-1.778,949,-27.78,179,0.003375,-1.341,-1.338
2333,-1.18,947,-31.44,-208,0.003947,1.553,1.557
2367,-1.558,947,-36.54,-37.87,0.005388,0.2832,0.2886
2400,-1.536,945,-39.54,23.93,0.006177,-0.1787,-0.1725
2433,-1.523,944,-30.75,414,0.003737,-3.089,-3.085
2467,-1.509,943,-15.38,-170,0.0009342,1.27,1.271
2500,-1.509,943,-33.01,-57.51,0.004366,0.4284,0.4328
2533,-1.772,941,-35.24,190,0.005052,-1.409,-1.404
2567,-1.916,941,-6.56,321,0.0001906,-2.388,-2.388
2600,-1.619,940,-17.54,-377,0.001239,2.803,2.804
2633,-1.754,939,-33.01,-208,0.004366,1.545,1.549
2667,-1.882,938,-32.98,-171,0.004309,1.265,1.27
2700,-1.87,937,-39.66,37.66,0.006482,-0.2788,-0.2723
2733,-2.432,935,-37.43,172,0.005681,-1.273,-1.267
2767,-2.276,935,-21.85,153,0.002211,-1.131,-1.129
2800,-1.827,934,-28.47,17.55,0.003393,-0.1295,-0.1261
2833,-1.811,933,-24.16,-134,0.002307,0.9901,0.9924
2867,-1.805,932,-30.81,113,0.003813,-0.8321,-0.8283
2900,-2.076,931,-26.39,189,0.002764,-1.39,-1.387
2933,-1.927,931,-8.757,155,0.0003241,-1.139,-1.139
2967,-1.921,930,-19.56,-396,0.002478,2.907,2.91
3000,-0.8843,929,-35.03,-721,0.005186,5.29,5.296
3033,-1.304,928,-66.14,-230,0.01838,1.686,1.705
3067,-1.996,925,-59.46,209,0.01437,-1.53,-1.516
3100,-1.982,924,-39.57,119,0.006196,-0.8675,-0.8613
3133,-2.107,922,-56.94,-302,0.01357,2.202,2.216
3167,-1.052,920,-61.48,-80.18,0.01497,0.5828,0.5977
3200,-1.905,918,-59.61,432,0.0158,-3.134,-3.118
3233,-2.463,916,-37.34,289,0.00551,-2.088,-2.083
3267,-1.871,916,-30.58,74.8,0.004423,-0.5411,-0.5367
3300,-1.556,914,-41.8,-96.7,0.006959,0.6983,0.7052
3333,-2.126,913,-33.01,284,0.004366,-2.048,-2.044
3367,-1.819,912,-24.04,96.19,0.002612,-0.6929,-0.6903
3400,-1.518,911,-24.1,-133,0.002383,0.9599,0.9623
3433,-1.504,910,-35.15,-265,0.004881,1.903,1.908
3467,-1.486,909,-41.74,-93.63,0.006882,0.6723,0.6792
3500,-1.467,907,-41.71,358,0.006901,-2.567,-2.56
3533,-1.302,906,-19.74,93.89,0.001563,-0.6721,-0.6705
3567,-1.302,906,-26.36,-206,0.002745,1.475,1.478
3600,-1.278,904,-44.94,-816,0.007991,5.829,5.837
3633,-1.422,903,-70.07,-72.38,0.01976,0.5164,0.5362
3667,-1.923,900,-65.62,178,0.0175,-1.264,-1.247
3700,-0.6774,899,-41.01,597,0.006823,-4.24,-4.233
3733,-1.475,897,-37.15,-321,0.006005,2.277,2.283
3767,-1.466,896,-51.45,-85.43,0.01058,0.6049,0.6155
3800,-1.84,894,-57.59,143,0.01314,-1.008,-0.995
3833,-1.688,892,-30.74,16.42,0.003903,-0.1157,-0.1118
3867,-1.401,892,-55.59,-480,0.01243,3.38,3.392
3900,-2.185,889,-72.2,266,0.0221,-1.868,-1.846
3933,-2.706,887,-34.9,765,0.004838,-5.357,-5.352
3967,-2.017,886,-14.1,477,0.002486,-3.344,-3.341
4000,-1.323,886,-10.13,155,0.0008341,-1.084,-1.083
4033,-1.323,886,0,-817,0,5.719,5.719
4067,-1.323,886,-57.81,-1766,0.01475,12.35,12.37
4100,-2.64,882,-132,-628,0.0716,4.374,4.446
4133,-3.121,877,-103,818,0.0423,-5.666,-5.624
4167,-1.725,875,-61.39,1232,0.01636,-8.518,-8.502
4200,-1.833,873,-32.91,770,0.004287,-5.313,-5.308
4233,-1.833,873,0,564,0,-3.89,-3.89
4267,-1.833,873,0,-211,0,1.457,1.457
4300,-1.833,873,-12.33,-669,0.0006005,4.615,4.616
4333,-1.822,872,-45.21,-810,0.008074,5.578,5.586
4367,-1.792,870,-69.84,-248,0.0193,1.703,1.722
4400,-1.621,867,-61.7,177,0.01508,-1.213,-1.198
4433,-2.01,866,-53.4,36.42,0.01129,-0.2491,-0.2378
4467,-1.436,864,-61.53,70.93,0.01528,-0.484,-0.4688
4500,-1.406,862,-51.37,-339,0.01043,2.31,2.321
4533,-1.389,860,-74.14,-243,0.02222,1.653,1.676
4567,-2.161,857,-84.14,266,0.02831,-1.801,-1.773
4600,-0.7651,855,-45.04,844,0.008674,-5.703,-5.694
4633,-1.298,854,-28.91,-110,0.003687,0.7401,0.7438
4667,-1.424,853,-49.34,-280,0.009625,1.884,1.894
4700,-1.391,850,-57.54,245,0.01308,-1.647,-1.634
4733,-1.372,849,-26.82,405,0.003086,-2.714,-2.711
4767,-1.914,849,-26.8,-16.42,0.002969,0.1101,0.113
4800,-1.759,847,-34.9,18.33,0.004838,-0.1227,-0.1179
4833,-1.746,846,-22.66,88.06,0.002085,-0.5888,-0.5867
4867,-2.012,846,-26.71,18.57,0.002819,-0.1241,-0.1213
4900,-1.722,845,-26.66,-1141,0.002886,7.616,7.618
4933,-1.714,844,-88.19,-651,0.03144,4.342,4.373
4967,-0.8196,839,-101,-659,0.04065,4.365,4.406
