t,y,vy,ay,K,Pot,Mec
0.00000,1.00100,,,,,
0.03300,0.99400,-0.42100,,0.00071,,
0.06700,0.97300,-0.79300,-10.86000,0.00249,0.08348,0.08596
0.10000,0.94100,-1.13500,-10.44000,0.00510,0.07763,0.08273
0.13300,0.89700,-1.49300,-10.54000,0.00881,0.07470,0.08350
0.16700,0.84200,-1.83900,-10.02000,0.01335,0.06664,0.07999
0.20000,0.77500,-2.16200,-10.73000,0.01846,0.06568,0.08414
0.23300,0.69700,-2.54200,-10.06000,0.02552,0.05540,0.08092
0.26700,0.60500,-2.86100,-9.83000,0.03234,0.04700,0.07933
0.30000,0.50700,-3.16200,-9.70100,0.03949,0.03883,0.07833
0.33300,0.39400,-3.53000,-10.22000,0.04924,0.03183,0.08107
0.36700,0.27100,-3.83900,-7.89600,0.05821,0.01693,0.07513
0.40000,0.13900,-4.06400,,0.06525,,
0.43300,0.00044,,,,,
