t,x,y,vy,ay,K,Pot,Mec
0,-4.778,1001,,,,,
33,-4.625,1000,-18.65,,0.001374,,
67,-4.755,1000,-16.65,70.37,0.001153,-0.5559,-0.5547
100,-4.88,999,-16.61,-106,0.001102,0.8332,0.8343
133,-4.873,999,-20.72,-68.4,0.001696,0.5397,0.5414
167,-4.855,998,-24.75,-106,0.002595,0.8321,0.8347
200,-4.428,997,-24.75,140,0.002595,-1.106,-1.104
233,-4.41,996,-18.68,48.33,0.001391,-0.3804,-0.379
267,-4.543,996,-16.77,-33.87,0.001509,0.2665,0.268
300,-5.08,995,-24.86,38.81,0.002442,-0.3051,-0.3026
333,-4.512,994,-14.35,-15.78,0.001102,0.124,0.1251
367,-4.509,994,-20.68,317,0.001713,-2.492,-2.49
400,-4.348,993,-4.105,-142,0.0000848,1.112,1.112
433,-4.366,994,-12.39,-178,0.0006275,1.397,1.397
467,-4.195,992,-35.18,-160,0.004918,1.255,1.26
500,-4.184,991,-12.43,531,0.0006105,-4.162,-4.162
533,-4.179,991,-2.11,-54.26,0.00003392,0.4249,0.4249
567,-4.32,991,-12.51,-143,0.0006784,1.118,1.118
600,-4.44,990,-18.72,-88.13,0.001442,0.6895,0.691
633,-4.573,990,-12.47,108,0.0006275,-0.8411,-0.8405
667,-4.563,990,-14.5,-122,0.000831,0.9563,0.9571
700,-4.555,989,-18.57,-52.61,0.001442,0.4111,0.4126
733,-4.264,988,-20.64,141,0.001764,-1.104,-1.102
767,-4.253,988,-8.287,249,0.0002714,-1.94,-1.94
800,-4.253,988,-1.995,-53.27,0.0000848,0.4157,0.4158
833,-3.975,988,-12.39,-178,0.0006275,1.388,1.389
867,-4.1,987,-16.57,-214,0.001085,1.667,1.668
900,-3.954,987,-22.75,-408,0.002069,3.18,3.183
933,-3.934,985,-45.58,-215,0.008208,1.674,1.682
967,-3.898,983,-41.51,319,0.006852,-2.478,-2.471
1000,-4.159,983,-18.72,409,0.001442,-3.176,-3.174
1033,-4.151,982,-14.5,-87.47,0.000831,0.6787,0.6796
1067,-4.141,982,-24.86,-36.17,0.002442,0.2805,0.283
1100,-4.12,981,-20.76,34.53,0.001713,-0.2675,-0.2658
1133,-4.253,980,-16.65,71.03,0.001153,-0.5501,-0.5489
1167,-4.376,979,-20.76,-106,0.001713,0.8168,0.8185
1200,-4.366,979,-20.72,36.17,0.001696,-0.2797,-0.278
1233,-4.35,978,-20.72,35.52,0.001696,-0.2744,-0.2727
1267,-4.34,978,-16.57,-0.6586,0.001085,0.005086,0.006171
1300,-4.33,977,-20.76,-35.84,0.001713,0.2766,0.2784
1333,-4.453,976,-20.76,-106,0.001713,0.8191,0.8208
1367,-4.442,976,-24.86,0,0.002442,0,0.002442
1400,-4.422,974,-24.9,-0.9878,0.002459,0.007605,0.01006
1433,-4.55,974,-20.79,107,0.001764,-0.8198,-0.818
1467,-4.672,973,-20.76,676,0.001713,-5.195,-5.193
1500,-4.662,973,20.72,-34.2,0.001696,0.2627,0.2644
1533,-4.698,974,-4.105,-606,0.0000848,4.666,4.666
1567,-4.519,972,-45.69,-428,0.008361,3.286,3.294
1600,-5.056,971,-18.8,551,0.001645,-4.23,-4.228
1633,-5.048,971,-10.36,20.39,0.000424,-0.1564,-0.156
1667,-5.043,971,-16.57,-70.37,0.001085,0.5397,0.5408
1700,-5.028,970,-18.61,-18.75,0.001391,0.1436,0.145
1733,-4.882,969,-14.54,-159,0.000848,1.216,1.217
1767,-5.148,969,-28.97,-359,0.003341,2.746,2.75
1800,-4.708,968,-41.59,284,0.007055,-2.172,-2.165
1833,-5.649,966,-12.58,461,0.0008819,-3.519,-3.518
1867,-5.245,967,0,-30.91,0,0.236,0.236
1900,-5.649,966,-22.79,-766,0.002052,5.848,5.85
1933,-5.217,965,-47.69,-482,0.008989,3.673,3.682
1967,-5.729,963,-60.35,89.78,0.01509,-0.683,-0.6679
2000,-6.11,961,-39.32,271,0.006139,-2.055,-2.049
2033,-5.542,960,-37.18,179,0.005647,-1.355,-1.349
2067,-5.649,959,-35.22,85.5,0.004901,-0.6475,-0.6426
2100,-5.498,958,-24.9,142,0.002459,-1.078,-1.075
2133,-5.757,957,-29.04,-356,0.003341,2.693,2.696
2167,-5.6,956,-45.62,-104,0.008225,0.7873,0.7956
2200,-5.838,954,-43.47,50.31,0.007496,-0.3792,-0.3717
2233,-5.409,953,-33.26,106,0.004494,-0.7998,-0.7953
2267,-6.212,952,-41.59,-69.05,0.007055,0.5192,0.5263
2300,-5.91,950,-37.14,289,0.005766,-2.168,-2.162
2333,-5.613,949,-22.67,334,0.002205,-2.503,-2.501
2367,-5.467,949,-12.51,140,0.0006784,-1.05,-1.049
2400,-5.874,948,-14.58,-161,0.0008989,1.207,1.208
2433,-5.726,948,-22.87,-194,0.00212,1.453,1.455
2467,-6.122,947,-29.08,-71.69,0.003392,0.5363,0.5397
2500,-5.966,946,-26.97,-159,0.002883,1.187,1.19
2533,-6.227,945,-37.37,-320,0.005563,2.392,2.397
2567,-6.196,943,-51.83,-228,0.01062,1.699,1.709
2600,-6.301,942,-51.72,-53.93,0.01067,0.4012,0.4119
2633,-5.856,940,-53.86,105,0.01146,-0.7815,-0.77
2667,-6.234,938,-47.76,18.09,0.009124,-0.134,-0.1249
2700,-6.211,937,-47.57,198,0.009039,-1.465,-1.456
2733,-5.899,935,-41.36,249,0.006852,-1.836,-1.829
2767,-5.884,934,-24.82,282,0.002459,-2.08,-2.077
2800,-5.73,933,-24.9,71.36,0.002459,-0.5261,-0.5237
2833,-5.991,932,-20.72,-210,0.001696,1.55,1.552
2867,-5.705,932,-35.03,-393,0.005325,2.891,2.896
2900,-5.257,930,-52.92,-271,0.01138,1.99,2.001
2933,-5.106,928,-50.47,208,0.01009,-1.527,-1.517
2967,-5.076,927,-39.91,29.57,0.006299,-0.2165,-0.2102
3000,-5.204,926,-44.34,1.76,0.007772,-0.01287,-0.005099
3033,-5.169,924,-46.43,-212,0.008625,1.545,1.553
3067,-4.851,923,-51.1,-437,0.01056,3.182,3.193
3100,-5.696,920,-79.81,193,0.0252,-1.406,-1.381
3133,-5.048,917,-46.26,818,0.009245,-5.931,-5.921
3167,-4.753,917,-8.859,491,0.0003101,-3.561,-3.561
3200,-5.037,917,-22.11,-231,0.001958,1.673,1.675
3233,-4.578,916,-24.44,-132,0.002423,0.9563,0.9588
3267,-5.302,915,-28.87,-18.98,0.003353,0.1372,0.1406
3300,-4.838,914,-28.71,-92.1,0.003353,0.665,0.6683
3333,-4.972,913,-31.01,-419,0.003799,3.023,3.027
3367,-4.799,912,-57.54,-189,0.01312,1.36,1.373
3400,-4.753,909,-50.9,-97.38,0.01027,0.6996,0.7098
3433,-4.589,908,-51.02,246,0.01033,-1.766,-1.756
3467,-4.985,906,-48.81,229,0.009459,-1.64,-1.631
3500,-4.824,905,-24.28,439,0.002423,-3.137,-3.135
3533,-4.66,904,-24.32,-172,0.002365,1.228,1.23
3567,-4.646,904,-33.22,-250,0.004361,1.787,1.791
3600,-4.619,902,-44.46,73.12,0.008063,-0.5211,-0.513
3633,-5.182,901,-29.04,95.57,0.003973,-0.6799,-0.6759
3667,-5.469,900,-31.09,231,0.003841,-1.645,-1.641
3700,-5.341,899,-24.37,145,0.00236,-1.03,-1.027
3733,-5.341,899,-10.45,-244,0.0005494,1.731,1.731
3767,-4.977,898,-43.81,-347,0.007826,2.462,2.47
3800,-4.818,896,-42.15,180,0.007045,-1.273,-1.266
3833,-4.807,895,-21.03,392,0.001807,-2.77,-2.768
3867,-4.558,894,-21.03,-60.27,0.001807,0.4257,0.4275
3900,-4.547,894,-22.82,-317,0.002076,2.24,2.242
3933,-4.412,893,-42.15,-543,0.007045,3.831,3.838
3967,-4.378,891,-61.56,-439,0.01497,3.089,3.104
4000,-4.453,889,-70.41,-120,0.01964,0.8402,0.8599
4033,-4.642,886,-70.31,92.08,0.01953,-0.6446,-0.625
4067,-4.367,884,-63.22,150,0.01587,-1.044,-1.028
4100,-4.33,882,-59.86,59.43,0.01422,-0.414,-0.3998
4133,-4.644,880,-59.8,2.514,0.01413,-0.01748,-0.003353
4167,-4.373,878,-59.63,63.06,0.01431,-0.4374,-0.4231
4200,-4.102,876,-56.12,119,0.0127,-0.8263,-0.8136
4233,-3.835,874,-50.91,-17.3,0.01032,0.1195,0.1298
4267,-3.804,873,-56.28,241,0.01251,-1.66,-1.647
4300,-3.882,870,-40.4,348,0.006471,-2.393,-2.386
4333,-3.637,870,-24.51,-121,0.002503,0.8302,0.8327
4367,-3.5,869,-50.98,-470,0.01027,3.225,3.235
4400,-3.574,866,-61.62,-408,0.01507,2.79,2.805
4433,-3.776,865,-70.38,121,0.01958,-0.8272,-0.8076
4467,-3.721,862,-63.31,331,0.01584,-2.251,-2.235
4500,-3.815,860,-38.8,153,0.006105,-1.039,-1.033
4533,-4.142,859,-54.43,-224,0.01178,1.519,1.531
4567,-3.513,857,-59.63,177,0.01431,-1.201,-1.187
4600,-3.6,855,-38.9,508,0.006508,-3.429,-3.422
4633,-4.285,854,-24.84,184,0.002991,-1.241,-1.238
4667,-4.39,854,-26.33,-159,0.002759,1.07,1.073
4700,-4.136,852,-36.69,-74.5,0.005983,0.5017,0.5077
4733,-3.524,851,-33.27,-50.23,0.004603,0.3377,0.3423
4767,-3.626,850,-35.32,-334,0.005189,2.243,2.249
4800,-4.066,849,-58.07,-529,0.01334,3.547,3.56
4833,-3.788,846,-72.23,-458,0.02083,3.061,3.082
4867,-4.563,844,-85.81,19.54,0.03054,-0.1303,-0.09972
4900,-2.51,841,-76.85,568,0.02638,-3.771,-3.744
