Pessoa,numero,tempo (micro s)
Filipe,1,454272
Filipe,2,441280
Filipe,3,454608
Filipe,4,429744
Filipe,5,444192
Filipe,6,461664
Filipe,7,457184
Filipe,8,425824
Filipe,9,441392
Filipe,10,428056
Filipe,11,438704
Filipe,12,422128
Filipe,13,429856
Filipe,14,459312
Filipe,15,447552
Filipe,16,414288
Filipe,17,418208
Filipe,18,451248
Filipe,19,426720
Filipe,20,405776
Emanuel,1,409024
Emanuel,2,423024
Emanuel,3,408912
Emanuel,4,412832
Emanuel,5,425152
Emanuel,6,425152
Emanuel,7,421568
Emanuel,8,383376
Emanuel,9,415072
Emanuel,10,421008
Emanuel,11,433104
Emanuel,12,394240
Emanuel,13,379904
Emanuel,14,397600
Emanuel,15,422800
Emanuel,16,407792
Emanuel,17,410816
Emanuel,18,379904
Emanuel,19,418208
Emanuel,20,430304
