Pessoa,numero,tempo (micro s)
Lucas,1,436128
Lucas,2,427168
Lucas,3,421232
Lucas,4,428848
Lucas,5,423024
Lucas,6,433552
Lucas,7,441392
Lucas,8,433888
Lucas,9,431312
Lucas,10,442288
Lucas,11,435568
Lucas,12,437472
Lucas,13,416416
Lucas,14,421792
Lucas,15,424816
Lucas,16,422800
Lucas,17,434896
Lucas,18,435008
Lucas,19,439040
Lucas,20,431424
Matheus,1,426160
Matheus,2,413616
Matheus,3,416528
Matheus,4,417872
Matheus,5,417536
Matheus,6,435120
Matheus,7,428624
Matheus,8,416752
Matheus,9,430752
Matheus,10,430976
Matheus,11,435568
Matheus,12,436352
Matheus,13,431872
Matheus,14,435792
Matheus,15,432208
Matheus,16,443184
Matheus,17,430528
Matheus,18,452816
Matheus,19,441952
Matheus,20,439712
